activity,utility_type,parameter,value
work,u_before,U_max,12.203249510821985
work,u_before,alpha,665.9034796737075
work,u_before,beta,0.0014884106035553783
work,u_before,gamma,0.23205557841255794
work,u_before,tau,0.0
work,u_activity,U_max,38.914194292065446
work,u_activity,alpha,694.6026302524996
work,u_activity,beta,0.0065576098539398015
work,u_activity,gamma,1.549358599336243
work,u_activity,tau,0.0
work,u_after,U_max,3.8749452495866574
work,u_after,alpha,1440.0
work,u_after,beta,0.014267627773101631
work,u_after,gamma,1.0999449036708466
work,u_after,tau,0.0
shop,u_before,U_max,5.8792784381210295
shop,u_before,alpha,267.35623475102045
shop,u_before,beta,0.016555698416522574
shop,u_before,gamma,1.1112170514489377
shop,u_before,tau,1.0
shop,u_activity,U_max,16.592578040978722
shop,u_activity,alpha,161.94077517860183
shop,u_activity,beta,0.028946917528858553
shop,u_activity,gamma,1.550040235789137
shop,u_activity,tau,1.0
shop,u_after,U_max,8.666488920906824
shop,u_after,alpha,316.59252257609785
shop,u_after,beta,0.03191242752111829
shop,u_after,gamma,2.8153010454250547
shop,u_after,tau,1.0
leisure,u_before,U_max,5.964347296160284
leisure,u_before,alpha,25.60491204232907
leisure,u_before,beta,0.0048606324278806234
leisure,u_before,gamma,1.0224827618694274
leisure,u_before,tau,1.0
leisure,u_activity,U_max,16.23551927351375
leisure,u_activity,alpha,201.3936571575673
leisure,u_activity,beta,0.011731886221636633
leisure,u_activity,gamma,2.5016211330967617
leisure,u_activity,tau,1.0
leisure,u_after,U_max,1.0
leisure,u_after,alpha,89.71380506681984
leisure,u_after,beta,0.011441991066858247
leisure,u_after,gamma,0.9313518549439112
leisure,u_after,tau,1.0
